"date";"consumo"
1980-01-01;4806
1980-02-01;4808
1980-03-01;4833
1980-04-01;4901
1980-05-01;5009
1980-06-01;5162
1980-07-01;5149
1980-08-01;5432
1980-09-01;5369
1980-10-01;5391
1980-11-01;5505
1980-12-01;5121
1981-01-01;5235
1981-02-01;5031
1981-03-01;5230
1981-04-01;5067
1981-05-01;5175
1981-06-01;5059
1981-07-01;5119
1981-08-01;5233
1981-09-01;4973
1981-10-01;4994
1981-11-01;5128
1981-12-01;4906
1982-01-01;4875
1982-02-01;4836
1982-03-01;5039
1982-04-01;5388
1982-05-01;5285
1982-06-01;5399
1982-07-01;5496
1982-08-01;5645
1982-09-01;5597
1982-10-01;5548
1982-11-01;5494
1982-12-01;5287
1983-01-01;5132
1983-02-01;4994
1983-03-01;5143
1983-04-01;5722
1983-05-01;5553
1983-06-01;5933
1983-07-01;5750
1983-08-01;5866
1983-09-01;6070
1983-10-01;6017
1983-11-01;5961
1983-12-01;5898
1984-01-01;5834
1984-02-01;6161
1984-03-01;6353
1984-04-01;6160
1984-05-01;6507
1984-06-01;6676
1984-07-01;6777
1984-08-01;7101
1984-09-01;7239
1984-10-01;7093
1984-11-01;7412
1984-12-01;7142
1985-01-01;7084
1985-02-01;7219
1985-03-01;7225
1985-04-01;7547
1985-05-01;7310
1985-06-01;7674
1985-07-01;7376
1985-08-01;7960
1985-09-01;7825
1985-10-01;7846
1985-11-01;7974
1985-12-01;7800
1986-01-01;7530
1986-02-01;7364
1986-03-01;7190
1986-04-01;7647
1986-05-01;8325
1986-06-01;8235
1986-07-01;8285
1986-08-01;8719
1986-09-01;8538
1986-10-01;8551
1986-11-01;8710
1986-12-01;8044
1987-01-01;8306
1987-02-01;7764
1987-03-01;7908
1987-04-01;7749
1987-05-01;8079
1987-06-01;7873
1987-07-01;8011
1987-08-01;8391
1987-09-01;8249
1987-10-01;8344
1987-11-01;8546
1987-12-01;8183
1988-01-01;8219
1988-02-01;8201
1988-03-01;8343
1988-04-01;8472
1988-05-01;8073
1988-06-01;8315
1988-07-01;8494
1988-08-01;8521
1988-09-01;8768
1988-10-01;8690
1988-11-01;8221
1988-12-01;8210
1989-01-01;8085
1989-02-01;8088
1989-03-01;7595
1989-04-01;8550
1989-05-01;8259
1989-06-01;8725
1989-07-01;8966
1989-08-01;8942
1989-09-01;9300
1989-10-01;8896
1989-11-01;9062
1989-12-01;8529
1990-01-01;8327
1990-02-01;8542
1990-03-01;8159
1990-04-01;7980
1990-05-01;7145
1990-06-01;8006
1990-07-01;8155
1990-08-01;8643
1990-09-01;9094
1990-10-01;8544
1990-11-01;8981
1990-12-01;8295
1991-01-01;7599
1991-02-01;8003
1991-03-01;7466
1991-04-01;8138
1991-05-01;8583
1991-06-01;8891
1991-07-01;8796
1991-08-01;9277
1991-09-01;9280
1991-10-01;9068
1991-11-01;9040
1991-12-01;8460
1992-01-01;7953
1992-02-01;8358
1992-03-01;8422
1992-04-01;8361
1992-05-01;8665
1992-06-01;8638
1992-07-01;8749
1992-08-01;9092
1992-09-01;8857
1992-10-01;8832
1992-11-01;8872
1992-12-01;8528
1993-01-01;8290
1993-02-01;8326
1993-03-01;8498
1993-04-01;9221
1993-05-01;8904
1993-06-01;9087
1993-07-01;9139
1993-08-01;9373
1993-09-01;9321
1993-10-01;9059
1993-11-01;9121
1993-12-01;8642
1994-01-01;8494
1994-02-01;8368
1994-03-01;8477
1994-04-01;9044
1994-05-01;8580
1994-06-01;9026
1994-07-01;8775
1994-08-01;9096
1994-09-01;9450
1994-10-01;9352
1994-11-01;9195
1994-12-01;9206
1995-01-01;9171
1995-02-01;9109
1995-03-01;9070
1995-04-01;9607
1995-05-01;9101
1995-06-01;9351
1995-07-01;9333
1995-08-01;9312
1995-09-01;9647
1995-10-01;9238
1995-11-01;9603
1995-12-01;9124
1996-01-01;8753
1996-02-01;9278
1996-03-01;9204
1996-04-01;9539
1996-05-01;9623
1996-06-01;9833
1996-07-01;9655
1996-08-01;10390
1996-09-01;10187
1996-10-01;10031
1996-11-01;10076
1996-12-01;9947
1997-01-01;9455
1997-02-01;9840
1997-03-01;9488
1997-04-01;9945
1997-05-01;10304
1997-06-01;10045
1997-07-01;10285
1997-08-01;10685
1997-09-01;10441
1997-10-01;10567
1997-11-01;10727
1997-12-01;9935
1998-01-01;9545
1998-02-01;9722
1998-03-01;9609
1998-04-01;10400
1998-05-01;10367
1998-06-01;10168
1998-07-01;10351
1998-08-01;10723
1998-09-01;10510
1998-10-01;10425
1998-11-01;10343
1998-12-01;9815
1999-01-01;9257
1999-02-01;9441
1999-03-01;9762
1999-04-01;10512
1999-05-01;10215
1999-06-01;10411
1999-07-01;10467
1999-08-01;10804
1999-09-01;10750
1999-10-01;10742
1999-11-01;10864
1999-12-01;10667
2000-01-01;10024
2000-02-01;10388
2000-03-01;10769
2000-04-01;10942
2000-05-01;10882
2000-06-01;11216
2000-07-01;11049
2000-08-01;11271
2000-09-01;11094
2000-10-01;11350
2000-11-01;11422
2000-12-01;10873
2001-01-01;10426
2001-02-01;10856
2001-03-01;10892
2001-04-01;11307
2001-05-01;11338
2001-06-01;10662
2001-07-01;9178
2001-08-01;9520
2001-09-01;9586
2001-10-01;9566
2001-11-01;9686
2001-12-01;9521
2002-01-01;9431
2002-02-01;9919
2002-03-01;10362
2002-04-01;10762
2002-05-01;10920
2002-06-01;10898
2002-07-01;10720
2002-08-01;11024
2002-09-01;10893
2002-10-01;11000
2002-11-01;11040
2002-12-01;10659
2003-01-01;10345
2003-02-01;10471
2003-03-01;10565
2003-04-01;10850
2003-05-01;10750
2003-06-01;10788
2003-07-01;10818
2003-08-01;10793
2003-09-01;10855
2003-10-01;11215
2003-11-01;11251
2003-12-01;11531
2004-01-01;12009
2004-02-01;12141
2004-03-01;12608
2004-04-01;12887
2004-05-01;12833
2004-06-01;13108
2004-07-01;13307
2004-08-01;13592
2004-09-01;13461
2004-10-01;13535
2004-11-01;13456
2004-12-01;13392
2005-01-01;12651
2005-02-01;12747
2005-03-01;13065
2005-04-01;13374
2005-05-01;13292
2005-06-01;13143
2005-07-01;13430
2005-08-01;13755
2005-09-01;13701
2005-10-01;13512
2005-11-01;13445
2005-12-01;13550
2006-01-01;12851
2006-02-01;13044
2006-03-01;13382
2006-04-01;13532
2006-05-01;13407
2006-06-01;13569
2006-07-01;13697
2006-08-01;14164
2006-09-01;13825
2006-10-01;13953
2006-11-01;13990
2006-12-01;13767
2007-01-01;13592
2007-02-01;13684
2007-03-01;14276
2007-04-01;14511
2007-05-01;14558
2007-06-01;14582
2007-07-01;14569
2007-08-01;14860
2007-09-01;14866
2007-10-01;14952
2007-11-01;15025
2007-12-01;14893
2008-01-01;13793
2008-02-01;13967
2008-03-01;14655
2008-04-01;14525
2008-05-01;14791
2008-06-01;14781
2008-07-01;15154
2008-08-01;15412
2008-09-01;15180
2008-10-01;15386
2008-11-01;14773
2008-12-01;13417
2009-01-01;11924
2009-02-01;12337
2009-03-01;13049
2009-04-01;13200
2009-05-01;12976
2009-06-01;13217
2009-07-01;13611
2009-08-01;14061
2009-09-01;14227
2009-10-01;14552
2009-11-01;14415
2009-12-01;14229
2010-01-01;13425
2010-02-01;14078
2010-03-01;14766
2010-04-01;14921
2010-05-01;15025
2010-06-01;15180
2010-07-01;15303
2010-08-01;15456
2010-09-01;15405
2010-10-01;15434
2010-11-01;15317
2010-12-01;15169
2011-01-01;14467
2011-02-01;14487
2011-03-01;15188
2011-04-01;15335
2011-05-01;15255
2011-06-01;15387
2011-07-01;15436
2011-08-01;15853
2011-09-01;15731
2011-10-01;15671
2011-11-01;15484
2011-12-01;15282
2012-01-01;14567
2012-02-01;15059
2012-03-01;15579
2012-04-01;15530
2012-05-01;15264
2012-06-01;15159
2012-07-01;15214
2012-08-01;15628
2012-09-01;15573
2012-10-01;15548
2012-11-01;15470
2012-12-01;14834
2013-01-01;14370
2013-02-01;14786
2013-03-01;15148
2013-04-01;15592
2013-05-01;15569
2013-06-01;15326
2013-07-01;15490
2013-08-01;15886
2013-09-01;15594
2013-10-01;15787
2013-11-01;15810
2013-12-01;15321
2014-01-01;14537
2014-02-01;15107
2014-03-01;15083
2014-04-01;15261
2014-05-01;14943
2014-06-01;14683
2014-07-01;14554
2014-08-01;15134
2014-09-01;14975
2014-10-01;14929
2014-11-01;15256
2014-12-01;14648
2015-01-01;13759
2015-02-01;14449
2015-03-01;14597
2015-04-01;14645
2015-05-01;14337
2015-06-01;14182
2015-07-01;13957
2015-08-01;14289
2015-09-01;14005
2015-10-01;14155
2015-11-01;13909
2015-12-01;13406
2016-01-01;12656
2016-02-01;13520
2016-03-01;13957
2016-04-01;14014
2016-05-01;13973
2016-06-01;13916
2016-07-01;14120
2016-08-01;14270
2016-09-01;14086
2016-10-01;13969
2016-11-01;13946
2016-12-01;13539
2017-01-01;13188
2017-02-01;13487
2017-03-01;13931
2017-04-01;14179
2017-05-01;13662
2017-06-01;14014
2017-07-01;14057
2017-08-01;14325
2017-09-01;14303
2017-10-01;14260
2017-11-01;14406
2017-12-01;14179
2018-01-01;13900
2018-02-01;13563
2018-03-01;14733
2018-04-01;14381
2018-05-01;13863
2018-06-01;13778
2018-07-01;14523
2018-08-01;14682
2018-09-01;14164
2018-10-01;14659
2018-11-01;14409
2018-12-01;13796
2019-01-01;13927
2019-02-01;13574
2019-03-01;14070
2019-04-01;13930
2019-05-01;14235
2019-06-01;13864
2019-07-01;14133
2019-08-01;14223
2019-09-01;13901
2019-10-01;14436
2019-11-01;14218
2019-12-01;13604
2020-01-01;13534
2020-02-01;13899
2020-03-01;14133
2020-04-01;12174
2020-05-01;12320
2020-06-01;12556
2020-07-01;13916
2020-08-01;14543
2020-09-01;14656
2020-10-01;15270
2020-11-01;14761
2020-12-01;14675
2021-01-01;14825
2021-02-01;14389
2021-03-01;15592
2021-04-01;15207
2021-05-01;15259
2021-06-01;14997
2021-07-01;15303
2021-08-01;15441
2021-09-01;15165
2021-10-01;15535
2021-11-01;15352
2021-12-01;15075
2022-01-01;14772
2022-02-01;14428
2022-03-01;15479
2022-04-01;15429
2022-05-01;15502
2022-06-01;15362
2022-07-01;15798
2022-08-01;16013
2022-09-01;15685
2022-10-01;15712
2022-11-01;15389
2022-12-01;14913
2023-01-01;14935
2023-02-01;14665
2023-03-01;15977
2023-04-01;15834
2023-05-01;15738
2023-06-01;15631
2023-07-01;15700
2023-08-01;16123
2023-09-01;15973
2023-10-01;16234
2023-11-01;16048
2023-12-01;15669
2024-01-01;15526
2024-02-01;15565
2024-03-01;16252
2024-04-01;16377
2024-05-01;16535
2024-06-01;16345
2024-07-01;16774
2024-08-01;17291
2024-09-01;16916
2024-10-01;16880
2024-11-01;16842
2024-12-01;16261
2025-01-01;15985
2025-02-01;15889
